"Age","Gender","Country","Membership_Years","Login_Frequency","Cart_Abandonment_Rate","Total_Purchases","Days_Since_Last_Purchase","Returns_Rate","Product_Reviews_Written","Social_Media_Engagement_Score","Mobile_App_Usage","Credit_Balance","Churned"
43,"Male","France",2.9,14,50.6,9,34,2,4,16.3,20.8,2278,"0"
36,"Male","UK",1.6,15,37.7,19.5,71,9.2,3,27.6,23.3,3028,"0"
45,"Female","Canada",2.9,10,70.9,9.1,11,11.5,1,27.6,8.8,2317,"0"
56,"Female","USA",2.6,10,41.7,15,47,5.4,5,85.9,31,2674,"0"
35,"Male","India",3.1,29,19.1,32.5,73,5.5,11,83,50.4,5354,"0"
35,"Male","Japan",3.5,6,74.4,12,29,11,2,14.3,11.2,2418,"1"
56,"Male","Germany",1.9,24,36.2,20,10,5.5,6,68.8,42.9,2657,"0"
47,"Female","USA",1.6,14,59.9,13,6,6.3,2,30.1,7.6,2274,"0"
32,"Male","Canada",1.3,14,66.5,6,13,9.9,0,0,18.7,534,"0"
44,"Male","USA",3.6,13,62.6,9,38,5.4,1,13.5,21.5,977,"0"
32,"Male","UK",0.9,0,73.5,5,23,5.1,2,17,8,498,"1"
32,"Female","Germany",0.6,11,77.2,5,36,4.8,1,0,17.7,1369,"1"
40,"Female","USA",7.1,10,69.1,10,38,1.9,2,17.7,18.6,2446,"0"
18,"Female","USA",3.1,13,47.7,11,3,0.2,4,27.6,21.5,2772,"1"
18,"Female","France",3.7,14,48.4,15,8,3.7,4,28.3,23.3,3624,"0"
31,"Female","USA",1.4,24,44,18,55,2.5,5,81.6,26.5,2564,"0"
25,"Female","Canada",0.9,4,68.5,4,78,7,1,0,15.5,1048,"0"
41,"Male","USA",0.7,5,68,14.3,20,8,2,0,13.4,1924,"0"
27,"Female","India",2,0,59.8,11,5,18.6,0,3.4,17.5,54,"0"
21,"Female","Australia",5.6,9,52.1,16,42,14,5,28.2,25.6,3107,"0"
55,"Female","India",1.2,24,25.2,24,4,11.6,5,76.7,37.8,4561,"0"
35,"Male","USA",4.7,6,80.9,6.5,32,9.5,1,3.3,2.9,1896,"1"
38,"Male","Japan",2.7,30,29.6,22.1,8,1.6,6,40.8,27.5,4088,"0"
20,"Female","USA",2.7,27,29.3,20,81,0.1,9,65.3,37.3,1725,"1"
31,"Female","Australia",3.3,18,45.5,21,39,2.2,8,68.3,45.2,2465,"0"
39,"Female","UK",3.9,14,65.3,10,15,16.2,6,43.5,25.4,2511,"0"
38,"Female","Japan",1.3,17,61.1,15.6,40,5.8,4,25.4,19,1735,"0"
42,"Male","USA",0.4,17,48.7,12,16,7.5,3,24.4,21.3,3002,"0"
30,"Male","Germany",1.4,16,39.1,19,43,7.5,4,38.5,27.7,2990,"0"
34,"Male","Japan",4.4,12,38.3,17,10,5.9,2,38.8,28.8,1889,"0"
30,"Male","Germany",5.4,8,61,10,24,5.4,5,15.4,18.6,240,"0"
60,"Female","Germany",4.9,27,35.1,19,59,21.5,6,27.6,42.7,1896,"0"
37,"Male","Germany",7.5,29,27.8,22,34,5.1,10,59,39.6,2544,"1"
25,"Male","Japan",4.9,17,42.1,19.5,1,7.2,4,32.8,19.9,3723,"1"
47,"Male","Germany",0.7,1,59.2,5,9,4.2,0,0,9.4,1736,"0"
23,"Male","UK",2.1,4,47,13,42,3.8,6,36.7,24.1,2564,"0"
40,"Male","USA",1.5,24,50,15,51,4.1,6,80.9,20.1,427,"0"
18,"Male","France",0.9,22,39.1,19,13,5.4,9,23.9,31.8,2882,"0"
22,"Male","USA",0.7,13,47.7,15.6,21,11,5,27.6,29.3,2021,"1"
40,"Male","USA",3.2,18,51.5,11,68,7.9,1,27.2,7.5,2966,"0"
46,"Male","France",0.7,17,50.8,23.4,59,6,2,52.5,31.1,1926,"0"
40,"Female","UK",2.2,26,53.8,15,4,7.6,5,26.4,18.1,2753,"0"
36,"Male","USA",1.4,0,75.1,6,43,2.1,1,23.9,19.9,1416,"0"
38,"Male","France",2.7,17,41.5,14,1,10.2,3,45.2,21.7,2254,"0"
20,"Male","Australia",5,24,22.7,19,66,8.2,5,62.5,33,4461,"1"
29,"Female","USA",4.4,14,35.2,14,1,8.3,4,35,24.3,1098,"0"
32,"Male","UK",0.5,15,55.4,14.3,91,8.7,2,16.3,25.6,2618,"0"
50,"Female","USA",3,0,78.4,16.9,3,6.4,1,29.8,14.8,442,"0"
42,"Male","Australia",6,0,64.3,7,10,0.9,2,13.6,20.2,4038,"0"
18,"Male","USA",0.4,14,51.9,16,22,4.4,3,41,28.2,2965,"1"
41,"Male","UK",1.7,18,44.9,15.6,69,5.9,5,38.6,36.1,2737,"0"
33,"Male","India",1.4,0,64,8,32,1.4,2,2,18.6,1165,"0"
29,"Female","Canada",0.8,10,59.5,13,64,2.7,2,13.1,21.4,1205,"0"
38,"Male","Australia",1.4,0,52.1,9,1,5.3,1,54.2,19.8,1416,"0"
50,"Female","USA",4.8,15,34.6,15,47,9.5,4,56.1,34.8,2319,"0"
49,"Female","USA",1.8,0,58.6,10,94,10.9,2,0.9,6.6,0,"1"
27,"Male","UK",1.6,9,72.8,7,44,6.2,2,6.3,5.3,206,"1"
